c1,c2,c3,c4,c5,c6,c7
129.0,64.0,95.0,17.5,11.2,13.8,1.0
154.0,74.0,76.0,20.0,14.2,16.5,1.0
170.0,87.0,71.0,17.9,12.3,15.9,1.0
188.0,94.0,73.0,19.5,13.3,14.8,1.0
161.0,81.0,55.0,17.1,12.1,13.0,1.0
164.0,90.0,58.0,17.5,12.7,14.7,1.0
203.0,109.0,65.0,20.7,14.0,16.8,1.0
178.0,97.0,57.0,17.3,12.8,14.3,1.0
212.0,114.0,65.0,20.5,14.3,15.5,1.0
221.0,123.0,62.0,21.2,15.2,17.0,1.0
183.0,97.0,52.0,19.3,12.9,13.5,1.0
212.0,112.0,65.0,19.7,14.2,16.0,1.0
220.0,117.0,70.0,19.8,14.3,15.6,1.0
216.0,113.0,72.0,20.5,14.4,17.7,1.0
216.0,112.0,75.0,19.6,14.0,16.4,1.0
205.0,110.0,68.0,20.8,14.1,16.4,1.0
228.0,122.0,78.0,22.5,14.2,17.8,1.0
218.0,112.0,65.0,20.3,13.9,17.0,1.0
190.0,93.0,78.0,19.7,13.2,14.0,1.0
212.0,111.0,73.0,20.5,13.7,16.6,1.0
201.0,105.0,70.0,19.8,14.3,15.9,1.0
196.0,106.0,67.0,18.5,12.6,14.2,1.0
158.0,71.0,71.0,16.7,12.5,13.3,1.0
255.0,126.0,86.0,21.4,15.0,18.0,1.0
234.0,113.0,83.0,21.3,14.8,17.0,1.0
205.0,105.0,70.0,19.0,12.4,14.9,1.0
186.0,97.0,62.0,19.0,13.2,14.2,1.0
241.0,119.0,87.0,21.0,14.7,18.3,1.0
220.0,111.0,88.0,22.5,15.4,18.0,1.0
242.0,120.0,85.0,19.9,15.3,17.6,1.0
199.0,105.0,73.0,23.4,15.0,19.1,2.0
227.0,117.0,77.0,25.0,15.3,18.6,2.0
228.0,122.0,82.0,24.7,15.0,18.5,2.0
232.0,123.0,83.0,25.3,16.8,15.5,2.0
231.0,121.0,78.0,23.5,16.5,19.6,2.0
215.0,118.0,74.0,25.7,15.7,19.0,2.0
184.0,100.0,69.0,23.3,15.8,19.7,2.0
175.0,94.0,73.0,22.2,14.8,17.0,2.0
239.0,124.0,77.0,25.0,16.8,27.0,2.0
203.0,109.0,70.0,23.3,15.0,18.7,2.0
226.0,118.0,72.0,26.0,16.0,19.4,2.0
226.0,119.0,77.0,26.5,16.8,19.3,2.0
